SourceID,TargetID,Relationship,Weight,Distance
claim_osimertinib_dfs,paper_adaura_nejm,directly_supports,0.95,0.05
claim_osimertinib_os,paper_adaura_os,directly_supports,0.9,0.1
claim_chemo_required,paper_chemo_review,partially_supports,0.55,0.45
claim_chemo_required,paper_contrast_editorial,contradicts,0.75,0.25
claim_osimertinib_dfs,topic_egfr,about,0.8,1.0
claim_osimertinib_os,topic_egfr,about,0.8,1.0
claim_chemo_required,topic_adjuvant,about,0.8,1.0
claim_osimertinib_dfs,claim_osimertinib_os,related_claim,0.85,0.15
claim_osimertinib_os,claim_chemo_required,related_claim,0.35,0.65
paper_adaura_nejm,topic_egfr,tagged_with,0.55,1.0
paper_adaura_nejm,topic_adjuvant,tagged_with,0.55,1.0
paper_adaura_nejm,topic_survival,tagged_with,0.55,1.0
paper_adaura_nejm,method_rct,uses_method,0.65,1.0
paper_adaura_nejm,journal_nejm,published_in,0.45,1.0
paper_adaura_nejm,author_wu,authored_by,0.45,1.0
paper_adaura_nejm,author_herbst,authored_by,0.45,1.0
paper_adaura_os,topic_egfr,tagged_with,0.55,1.0
paper_adaura_os,topic_survival,tagged_with,0.55,1.0
paper_adaura_os,method_rct,uses_method,0.65,1.0
paper_adaura_os,journal_nejm,published_in,0.45,1.0
paper_adaura_os,author_wu,authored_by,0.45,1.0
paper_chemo_review,topic_adjuvant,tagged_with,0.55,1.0
paper_chemo_review,journal_jto,published_in,0.45,1.0
paper_chemo_review,author_herbst,authored_by,0.45,1.0
paper_real_world,topic_egfr,tagged_with,0.55,1.0
paper_real_world,method_real_world,uses_method,0.65,1.0
paper_real_world,journal_jto,published_in,0.45,1.0
paper_contrast_editorial,topic_adjuvant,tagged_with,0.55,1.0
paper_contrast_editorial,journal_jto,published_in,0.45,1.0
paper_contrast_editorial,author_herbst,authored_by,0.45,1.0
