SourceID,TargetID,Relationship,Weight
DK_DLCR,IND_StageCompleteness,captures,1.0
SE_SLCR,IND_StageCompleteness,captures,0.9
IND_StageCompleteness,DS_ClinicalRegistry,requires,0.8
IND_StageCompleteness,DS_CancerRegistry,requires,0.8
IND_StageCompleteness,DS_PathologyRegistry,requires,0.8
DK_DLCR,IND_TimeToDiagnosis,captures,1.0
SE_SLCR,IND_TimeToDiagnosis,captures,0.9
IND_TimeToDiagnosis,DS_ClinicalRegistry,requires,0.8
IND_TimeToDiagnosis,DS_HospitalDischarge,requires,0.8
DK_DLCR,IND_TimeToTreatment,captures,1.0
SE_SLCR,IND_TimeToTreatment,captures,0.9
IND_TimeToTreatment,DS_ClinicalRegistry,requires,0.8
IND_TimeToTreatment,DS_HospitalDischarge,requires,0.8
IND_TimeToTreatment,DS_RadiotherapyRegistry,requires,0.8
IND_TimeToTreatment,DS_SystemicTherapyData,requires,0.8
DK_DLCR,IND_MDT_Documented,captures,1.0
SE_SLCR,IND_MDT_Documented,captures,0.9
IND_MDT_Documented,DS_ClinicalRegistry,requires,0.8
IND_MDT_Documented,DS_HospitalDischarge,requires,0.8
DK_DLCR,IND_SurgeryRate_EarlyNSCLC,captures,1.0
SE_SLCR,IND_SurgeryRate_EarlyNSCLC,captures,0.9
IND_SurgeryRate_EarlyNSCLC,DS_ClinicalRegistry,requires,0.8
IND_SurgeryRate_EarlyNSCLC,DS_HospitalDischarge,requires,0.8
IND_SurgeryRate_EarlyNSCLC,DS_PathologyRegistry,requires,0.8
IND_R0_ResectionRate,DS_ClinicalRegistry,requires,0.8
IND_R0_ResectionRate,DS_HospitalDischarge,requires,0.8
IND_R0_ResectionRate,DS_PathologyRegistry,requires,0.8
DK_DLCR,IND_30dPostopMortality,captures,1.0
SE_SLCR,IND_30dPostopMortality,captures,0.9
IND_30dPostopMortality,DS_HospitalDischarge,requires,0.8
IND_30dPostopMortality,DS_MortalityLinkage,requires,0.8
DK_DLCR,IND_PostopComplications,captures,1.0
IND_PostopComplications,DS_HospitalDischarge,requires,0.8
DK_DLCR,IND_RadiotherapyUtil,captures,1.0
SE_SLCR,IND_RadiotherapyUtil,captures,0.9
IND_RadiotherapyUtil,DS_RadiotherapyRegistry,requires,0.8
IND_RadiotherapyUtil,DS_CancerRegistry,requires,0.8
IND_RadiotherapyUtil,DS_ClinicalRegistry,requires,0.8
DK_DLCR,IND_SystemicTherapy_IV,captures,1.0
SE_SLCR,IND_SystemicTherapy_IV,captures,0.9
IND_SystemicTherapy_IV,DS_SystemicTherapyData,requires,0.8
IND_SystemicTherapy_IV,DS_ClinicalRegistry,requires,0.8
IND_SystemicTherapy_IV,DS_CancerRegistry,requires,0.8
DK_DLCR,IND_CurativeIntentRate,captures,1.0
NO_NLCR,IND_CurativeIntentRate,captures,0.75
SE_SLCR,IND_CurativeIntentRate,captures,0.9
IND_CurativeIntentRate,DS_ClinicalRegistry,requires,0.8
IND_CurativeIntentRate,DS_HospitalDischarge,requires,0.8
IND_CurativeIntentRate,DS_RadiotherapyRegistry,requires,0.8
DK_DLCR,IND_SmokingStatusRecorded,captures,1.0
SE_SLCR,IND_SmokingStatusRecorded,captures,0.9
IND_SmokingStatusRecorded,DS_ClinicalRegistry,requires,0.8
DK_DLCR,IND_EarlyMortality_30_90,captures,1.0
FI_FICAN,IND_EarlyMortality_30_90,captures,0.6
IS_ICR,IND_EarlyMortality_30_90,captures,0.6
NO_NLCR,IND_EarlyMortality_30_90,captures,0.75
SE_SLCR,IND_EarlyMortality_30_90,captures,0.9
IND_EarlyMortality_30_90,DS_CancerRegistry,requires,0.8
IND_EarlyMortality_30_90,DS_MortalityLinkage,requires,0.8
DK_DLCR,IND_1yrOS,captures,1.0
FI_FICAN,IND_1yrOS,captures,0.6
IS_ICR,IND_1yrOS,captures,0.6
NO_NLCR,IND_1yrOS,captures,0.75
SE_SLCR,IND_1yrOS,captures,0.9
IND_1yrOS,DS_CancerRegistry,requires,0.8
IND_1yrOS,DS_MortalityLinkage,requires,0.8
DK_DLCR,IND_5yrOS,captures,1.0
FI_FICAN,IND_5yrOS,captures,0.6
IS_ICR,IND_5yrOS,captures,0.6
NO_NLCR,IND_5yrOS,captures,0.75
SE_SLCR,IND_5yrOS,captures,0.9
IND_5yrOS,DS_CancerRegistry,requires,0.8
IND_5yrOS,DS_MortalityLinkage,requires,0.8
DK_DLCR,IND_PROM_Capture,captures,1.0
NO_NLCR,IND_PROM_Capture,captures,0.75
IND_PROM_Capture,DS_PROMmodule,requires,0.8
IND_PROM_Capture,DS_ClinicalRegistry,requires,0.8
IND_PalliativeReferralTiming,DS_PalliativeServices,requires,0.8
IND_PalliativeReferralTiming,DS_HospitalDischarge,requires,0.8
IND_PalliativeReferralTiming,DS_MortalityLinkage,requires,0.8
